1;[1, 6[;[1, 11[;[1, 21[;[1, 41[;*
2;[1, 6[;[1, 11[;[1, 21[;[1, 41[;*
3;[1, 6[;[1, 11[;[1, 21[;[1, 41[;*
4;[1, 6[;[1, 11[;[1, 21[;[1, 41[;*
5;[1, 6[;[1, 11[;[1, 21[;[1, 41[;*
6;[6, 11[;[1, 11[;[1, 21[;[1, 41[;*
7;[6, 11[;[1, 11[;[1, 21[;[1, 41[;*
8;[6, 11[;[1, 11[;[1, 21[;[1, 41[;*
9;[6, 11[;[1, 11[;[1, 21[;[1, 41[;*
10;[6, 11[;[1, 11[;[1, 21[;[1, 41[;*
11;[11, 16[;[11, 21[;[1, 21[;[1, 41[;*
12;[11, 16[;[11, 21[;[1, 21[;[1, 41[;*
13;[11, 16[;[11, 21[;[1, 21[;[1, 41[;*
14;[11, 16[;[11, 21[;[1, 21[;[1, 41[;*
15;[11, 16[;[11, 21[;[1, 21[;[1, 41[;*
16;[16, 21[;[11, 21[;[1, 21[;[1, 41[;*
17;[16, 21[;[11, 21[;[1, 21[;[1, 41[;*
18;[16, 21[;[11, 21[;[1, 21[;[1, 41[;*
19;[16, 21[;[11, 21[;[1, 21[;[1, 41[;*
20;[16, 21[;[11, 21[;[1, 21[;[1, 41[;*
21;[21, 26[;[21, 31[;[21, 41[;[1, 41[;*
22;[21, 26[;[21, 31[;[21, 41[;[1, 41[;*
23;[21, 26[;[21, 31[;[21, 41[;[1, 41[;*
24;[21, 26[;[21, 31[;[21, 41[;[1, 41[;*
25;[21, 26[;[21, 31[;[21, 41[;[1, 41[;*
26;[26, 31[;[21, 31[;[21, 41[;[1, 41[;*
27;[26, 31[;[21, 31[;[21, 41[;[1, 41[;*
28;[26, 31[;[21, 31[;[21, 41[;[1, 41[;*
29;[26, 31[;[21, 31[;[21, 41[;[1, 41[;*
30;[26, 31[;[21, 31[;[21, 41[;[1, 41[;*
31;[31, 36[;[31, 41[;[21, 41[;[1, 41[;*
32;[31, 36[;[31, 41[;[21, 41[;[1, 41[;*
33;[31, 36[;[31, 41[;[21, 41[;[1, 41[;*
34;[31, 36[;[31, 41[;[21, 41[;[1, 41[;*
35;[31, 36[;[31, 41[;[21, 41[;[1, 41[;*
36;[36, 41[;[31, 41[;[21, 41[;[1, 41[;*
37;[36, 41[;[31, 41[;[21, 41[;[1, 41[;*
38;[36, 41[;[31, 41[;[21, 41[;[1, 41[;*
39;[36, 41[;[31, 41[;[21, 41[;[1, 41[;*
40;[36, 41[;[31, 41[;[21, 41[;[1, 41[;*
41;[41, 46[;[41, 51[;[41, 61[;[41, 81[;*
42;[41, 46[;[41, 51[;[41, 61[;[41, 81[;*
43;[41, 46[;[41, 51[;[41, 61[;[41, 81[;*
44;[41, 46[;[41, 51[;[41, 61[;[41, 81[;*
45;[41, 46[;[41, 51[;[41, 61[;[41, 81[;*
46;[46, 51[;[41, 51[;[41, 61[;[41, 81[;*
47;[46, 51[;[41, 51[;[41, 61[;[41, 81[;*
48;[46, 51[;[41, 51[;[41, 61[;[41, 81[;*
49;[46, 51[;[41, 51[;[41, 61[;[41, 81[;*
50;[46, 51[;[41, 51[;[41, 61[;[41, 81[;*
51;[51, 56[;[51, 61[;[41, 61[;[41, 81[;*
52;[51, 56[;[51, 61[;[41, 61[;[41, 81[;*
53;[51, 56[;[51, 61[;[41, 61[;[41, 81[;*
54;[51, 56[;[51, 61[;[41, 61[;[41, 81[;*
55;[51, 56[;[51, 61[;[41, 61[;[41, 81[;*
56;[56, 61[;[51, 61[;[41, 61[;[41, 81[;*
57;[56, 61[;[51, 61[;[41, 61[;[41, 81[;*
58;[56, 61[;[51, 61[;[41, 61[;[41, 81[;*
59;[56, 61[;[51, 61[;[41, 61[;[41, 81[;*
60;[56, 61[;[51, 61[;[41, 61[;[41, 81[;*
61;[61, 66[;[61, 71[;[61, 81[;[41, 81[;*
62;[61, 66[;[61, 71[;[61, 81[;[41, 81[;*
63;[61, 66[;[61, 71[;[61, 81[;[41, 81[;*
64;[61, 66[;[61, 71[;[61, 81[;[41, 81[;*
65;[61, 66[;[61, 71[;[61, 81[;[41, 81[;*
66;[66, 71[;[61, 71[;[61, 81[;[41, 81[;*
67;[66, 71[;[61, 71[;[61, 81[;[41, 81[;*
68;[66, 71[;[61, 71[;[61, 81[;[41, 81[;*
69;[66, 71[;[61, 71[;[61, 81[;[41, 81[;*
70;[66, 71[;[61, 71[;[61, 81[;[41, 81[;*
71;[71, 76[;[71, 81[;[61, 81[;[41, 81[;*
72;[71, 76[;[71, 81[;[61, 81[;[41, 81[;*
73;[71, 76[;[71, 81[;[61, 81[;[41, 81[;*
74;[71, 76[;[71, 81[;[61, 81[;[41, 81[;*
75;[71, 76[;[71, 81[;[61, 81[;[41, 81[;*
76;[76, 81[;[71, 81[;[61, 81[;[41, 81[;*
77;[76, 81[;[71, 81[;[61, 81[;[41, 81[;*
78;[76, 81[;[71, 81[;[61, 81[;[41, 81[;*
79;[76, 81[;[71, 81[;[61, 81[;[41, 81[;*
80;[76, 81[;[71, 81[;[61, 81[;[41, 81[;*
81;[81, 86[;[81, 91[;[81, 101[;[81, 101[;*
82;[81, 86[;[81, 91[;[81, 101[;[81, 101[;*
83;[81, 86[;[81, 91[;[81, 101[;[81, 101[;*
84;[81, 86[;[81, 91[;[81, 101[;[81, 101[;*
85;[81, 86[;[81, 91[;[81, 101[;[81, 101[;*
86;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
87;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
88;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
89;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
90;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
91;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
92;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
93;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
94;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
95;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
96;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
97;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
98;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
99;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
100;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
